osmid,y,x,street_count,highway,junction,ref,railway,geometry
58056528,28.5593895,77.1710004,4,,,,,POINT (77.1710004 28.5593895)
60890393,28.580619,77.1749531,4,,,,,POINT (77.1749531 28.580619)
175610054,28.569235,77.1931747,3,,,,,POINT (77.1931747 28.569235)
246513647,28.5948392,77.1670798,3,,,,,POINT (77.1670798 28.5948392)
249782331,28.631635,77.2217092,4,,,,,POINT (77.2217092 28.631635)
249782337,28.6306928,77.2195322,3,,,,,POINT (77.2195322 28.6306928)
249782343,28.6318278,77.2175751,3,,,,,POINT (77.2175751 28.6318278)
249782349,28.63394,77.2176776,4,,,,,POINT (77.2176776 28.63394)
249783257,28.6341977,77.2225404,3,,,,,POINT (77.2225404 28.6341977)
249783291,28.6300832,77.2209174,3,,,,,POINT (77.2209174 28.6300832)
249783293,28.6298938,77.2194853,4,traffic_signals,,,,POINT (77.2194853 28.6298938)
249783302,28.6314291,77.2167421,4,traffic_signals,,,,POINT (77.2167421 28.6314291)
249783308,28.6343031,77.2170406,4,,,,,POINT (77.2170406 28.6343031)
249783313,28.6355861,77.2188663,3,,,,,POINT (77.2188663 28.6355861)
249783316,28.6357191,77.2198833,3,traffic_signals,,,,POINT (77.2198833 28.6357191)
249786848,28.6204248,77.2188628,3,,,,,POINT (77.2188628 28.6204248)
249786894,28.6197235,77.2268125,3,,,,,POINT (77.2268125 28.6197235)
249786895,28.6195601,77.2268773,3,,,,,POINT (77.2268773 28.6195601)
249786899,28.6258484,77.2314813,3,,,,,POINT (77.2314813 28.6258484)
249786900,28.6260271,77.2316293,3,,,,,POINT (77.2316293 28.6260271)
249786902,28.6261047,77.2321199,3,,,,,POINT (77.2321199 28.6261047)
249786916,28.6107005,77.2340546,3,,,,,POINT (77.2340546 28.6107005)
249786918,28.6095354,77.2313754,3,,,,,POINT (77.2313754 28.6095354)
249786921,28.6109165,77.2281653,3,,,,,POINT (77.2281653 28.6109165)
249791204,28.6137551,77.2122049,4,traffic_signals,,,,POINT (77.2122049 28.6137551)
249791377,28.6095756,77.2303913,3,,,,,POINT (77.2303913 28.6095756)
249791853,28.6102956,77.2291783,3,,,,,POINT (77.2291783 28.6102956)
249791934,28.6190168,77.2094715,3,,,,,POINT (77.2094715 28.6190168)
249823983,28.5559242,77.1756519,3,,,,,POINT (77.1756519 28.5559242)
249824093,28.5671142,77.1279067,4,,,,,POINT (77.1279067 28.5671142)
249824096,28.5675746,77.1272739,3,,,,,POINT (77.1272739 28.5675746)
250078355,28.5694201,77.2060532,4,,,,,POINT (77.2060532 28.5694201)
250078357,28.5717114,77.2090352,3,,,,,POINT (77.2090352 28.5717114)
250078364,28.5515724,77.1696783,3,,,,,POINT (77.1696783 28.5515724)
250102742,28.5972676,77.2232305,4,,,,,POINT (77.2232305 28.5972676)
